algorithm_name,env_n,size,best_solution,nodes,time
forward_checking,26,8,True,14,0.00014591217041015625
backtracking,27,8,True,36,0.00012254714965820312
forward_checking,27,8,True,13,0.00016427040100097656
backtracking,28,8,True,68,0.00018668174743652344
forward_checking,28,8,True,41,0.00033855438232421875
backtracking,29,8,True,70,0.00016164779663085938
forward_checking,29,8,True,26,0.00028252601623535156
backtracking,0,10,True,488,0.0013904571533203125
forward_checking,0,10,True,11,0.00015211105346679688
backtracking,1,10,True,122,0.00037980079650878906
forward_checking,1,10,True,25,0.00025391578674316406
backtracking,2,10,True,140,0.00041031837463378906
forward_checking,2,10,True,11,0.00013589859008789062
backtracking,3,10,True,50,0.0001678466796875
forward_checking,3,10,True,13,0.00012874603271484375
backtracking,4,10,True,26,9.369850158691406e-05
forward_checking,4,10,True,58,0.0004954338073730469
backtracking,5,10,True,56,0.00024271011352539062
forward_checking,5,10,True,19,0.00024771690368652344
backtracking,6,10,True,140,0.00040531158447265625
forward_checking,6,10,True,14,0.00015735626220703125
backtracking,7,10,True,22,8.7738037109375e-05
forward_checking,7,10,True,35,0.0003447532653808594
backtracking,8,10,True,68,0.00026535987854003906
forward_checking,8,10,True,20,0.00021409988403320312
backtracking,9,10,True,150,0.0004401206970214844
forward_checking,9,10,True,11,0.00011849403381347656
backtracking,10,10,True,14,5.173683166503906e-05
forward_checking,10,10,True,12,0.0001342296600341797
backtracking,11,10,True,22,7.987022399902344e-05
forward_checking,11,10,True,34,0.0003139972686767578
backtracking,12,10,True,49,0.00015878677368164062
forward_checking,12,10,True,20,0.0002028942108154297
backtracking,13,10,True,18,7.104873657226562e-05
forward_checking,13,10,True,25,0.00021600723266601562
backtracking,14,10,True,438,0.0012650489807128906
forward_checking,14,10,True,34,0.0004062652587890625
backtracking,15,10,True,266,0.0007848739624023438
forward_checking,15,10,True,42,0.00040912628173828125
backtracking,16,10,True,65,0.0002319812774658203
forward_checking,16,10,True,23,0.00021386146545410156
backtracking,17,10,True,33,0.00012087821960449219
forward_checking,17,10,True,29,0.0002562999725341797
backtracking,18,10,True,118,0.0003566741943359375
forward_checking,18,10,True,11,0.0001266002655029297
backtracking,19,10,True,85,0.0002512931823730469
forward_checking,19,10,True,23,0.00020623207092285156
backtracking,20,10,True,68,0.00021004676818847656
forward_checking,20,10,True,36,0.00034046173095703125
backtracking,21,10,True,461,0.0014178752899169922
forward_checking,21,10,True,39,0.00041794776916503906
backtracking,22,10,True,139,0.00043392181396484375
forward_checking,22,10,True,34,0.00039958953857421875
backtracking,23,10,True,60,0.00019073486328125
forward_checking,23,10,True,27,0.0002193450927734375
backtracking,24,10,True,107,0.0002970695495605469
forward_checking,24,10,True,25,0.00021266937255859375
backtracking,25,10,True,55,0.00015878677368164062
forward_checking,25,10,True,11,9.131431579589844e-05
backtracking,26,10,True,324,0.0009546279907226562
forward_checking,26,10,True,31,0.00024509429931640625
backtracking,27,10,True,372,0.001026153564453125
forward_checking,27,10,True,26,0.0002391338348388672
backtracking,28,10,True,21,5.435943603515625e-05
forward_checking,28,10,True,23,0.00019407272338867188
backtracking,29,10,True,447,0.0012297630310058594
forward_checking,29,10,True,27,0.0002300739288330078
