algorithm_name,env_n,size,best_solution,H,states,time
random,19,10,"[1, 4, 0, 7, 9, 2, 6, 1, 3, 0]",2,5000,0.03183767200243892
HC,19,10,"[6, 3, 1, 7, 2, 0, 5, 8, 4, 9]",2,541,0.001975773000594927
SA,19,10,"[3, 5, 0, 9, 6, 4, 7, 1, 8, 2]",0,2078,0.008740969002246857
GA,19,10,"[4, 1, 0, 9, 3, 8, 7, 4, 2, 5]",3,5000,0.25851037000029464
random,20,10,"[8, 5, 7, 1, 0, 2, 6, 9, 2, 4]",2,5000,0.031816665999940597
HC,20,10,"[0, 4, 1, 5, 9, 2, 0, 8, 6, 1]",2,271,0.0009644120000302792
SA,20,10,"[5, 9, 6, 0, 7, 1, 4, 2, 8, 3]",1,2758,0.011618647000432247
GA,20,10,"[1, 8, 4, 2, 7, 9, 6, 3, 0, 5]",2,5000,0.25968068899965147
random,21,10,"[8, 6, 1, 3, 5, 9, 4, 0, 5, 2]",3,5000,0.03165583999725641
HC,21,10,"[9, 6, 4, 0, 7, 3, 1, 8, 2, 5]",1,541,0.0019364809995749965
SA,21,10,"[7, 5, 2, 8, 1, 3, 9, 6, 4, 0]",0,2133,0.008944268000050215
GA,21,10,"[5, 2, 2, 9, 7, 3, 8, 0, 4, 6]",2,5000,0.2660167329995602
random,22,10,"[8, 1, 3, 6, 0, 7, 4, 2, 7, 5]",3,5000,0.03171497799849021
HC,22,10,"[8, 3, 0, 9, 7, 2, 0, 6, 1, 5]",1,451,0.0016162299980351236
SA,22,10,"[9, 3, 1, 8, 2, 5, 7, 0, 4, 6]",0,2692,0.011435079999500886
GA,22,10,"[6, 4, 0, 5, 9, 6, 1, 7, 2, 3]",2,5000,0.24784704899866483
random,23,10,"[6, 8, 1, 2, 0, 7, 4, 1, 3, 9]",2,5000,0.03167201599717373
HC,23,10,"[4, 1, 7, 9, 3, 0, 0, 8, 5, 2]",1,451,0.0016157309983100276
SA,23,10,"[0, 7, 7, 2, 6, 8, 1, 4, 9, 3]",1,2758,0.011633199999778299
GA,23,10,"[6, 8, 1, 2, 0, 7, 4, 1, 3, 9]",2,5000,0.24618838700189372
random,24,10,"[8, 6, 6, 0, 2, 4, 5, 7, 9, 3]",3,5000,0.03175507000196376
HC,24,10,"[6, 9, 2, 0, 5, 3, 8, 1, 7, 4]",1,451,0.0015904659994703252
SA,24,10,"[1, 8, 6, 2, 7, 5, 0, 9, 6, 4]",1,2758,0.011686499001370976
GA,24,10,"[9, 5, 3, 0, 6, 8, 4, 7, 4, 2]",2,5000,0.2582158290024381
random,25,10,"[5, 1, 1, 4, 0, 8, 0, 9, 6, 2]",2,5000,0.03182571499928599
HC,25,10,"[6, 8, 1, 5, 7, 0, 4, 0, 4, 9]",2,361,0.0012598960020113736
SA,25,10,"[5, 0, 9, 4, 8, 1, 3, 7, 2, 4]",1,2758,0.011708469999575755
GA,25,10,"[5, 1, 1, 4, 0, 8, 0, 9, 6, 2]",2,5000,0.25381819999893196
random,26,10,"[5, 6, 4, 7, 0, 3, 5, 2, 9, 3]",3,5000,0.031664338002883596
HC,26,10,"[6, 3, 0, 4, 8, 0, 2, 7, 1, 9]",2,451,0.001623412001208635
SA,26,10,"[0, 4, 5, 7, 9, 1, 3, 8, 6, 2]",1,2758,0.011662680000881664
GA,26,10,"[5, 6, 4, 7, 0, 3, 5, 2, 9, 3]",3,5000,0.2503855710019707
random,27,10,"[3, 5, 9, 7, 9, 0, 2, 8, 6, 0]",3,5000,0.03235617800237378
HC,27,10,"[7, 0, 6, 9, 1, 1, 4, 8, 5, 2]",2,451,0.0015975680034898687
SA,27,10,"[5, 7, 2, 4, 8, 1, 9, 6, 3, 0]",0,1907,0.00802597199799493
GA,27,10,"[6, 6, 2, 7, 9, 0, 3, 1, 4, 8]",2,5000,0.24991706799846725
random,28,10,"[5, 7, 1, 8, 0, 8, 4, 2, 9, 3]",2,5000,0.031781042998773046
HC,28,10,"[1, 3, 8, 6, 2, 0, 2, 7, 5, 3]",2,451,0.0015965420025167987
SA,28,10,"[3, 6, 2, 9, 1, 7, 5, 8, 0, 4]",1,2758,0.011621012999967206
GA,28,10,"[3, 9, 7, 2, 4, 1, 5, 8, 6, 0]",2,5000,0.2533892619976541
random,29,10,"[2, 6, 1, 9, 5, 8, 0, 7, 3, 5]",2,5000,0.03196187700086739
HC,29,10,"[8, 3, 0, 9, 9, 4, 1, 7, 2, 6]",1,451,0.0016043300020101015
SA,29,10,"[4, 7, 9, 3, 6, 8, 1, 5, 7, 0]",1,2758,0.01164775800134521
GA,29,10,"[7, 4, 6, 0, 9, 1, 8, 8, 3, 9]",2,5000,0.2633429480010818
