algorithm_name,env_n,size,best_solution,H,states,time
GA,19,4,"[1, 3, 0, 2]",0,500,0.001006326998322038
random,20,4,"[1, 3, 0, 2]",0,133,0.00027048499759985134
HC,20,4,"[1, 3, 0, 2]",0,13,1.8135000573238358e-05
SA,20,4,"[1, 3, 0, 2]",0,37,6.49050016363617e-05
GA,20,4,"[1, 3, 0, 2]",0,500,0.0010017380009230692
random,21,4,"[1, 3, 0, 2]",0,29,6.202499935170636e-05
HC,21,4,"[1, 3, 0, 2]",0,13,1.6866000805748627e-05
SA,21,4,"[2, 0, 3, 1]",0,6,1.8405000446364284e-05
GA,21,4,"[1, 3, 0, 2]",0,500,0.0010082469998451415
random,22,4,"[1, 3, 0, 2]",0,9,2.3894001060398296e-05
HC,22,4,"[1, 2, 0, 3]",1,25,2.7152997063240036e-05
SA,22,4,"[2, 0, 3, 1]",0,167,0.00024950000079115853
GA,22,4,"[1, 3, 0, 2]",0,500,0.0010034680017270148
random,23,4,"[2, 0, 3, 1]",0,43,9.003800005302764e-05
HC,23,4,"[3, 1, 0, 2]",1,37,3.7240999517962337e-05
SA,23,4,"[1, 3, 0, 2]",0,85,0.00013411799955065362
GA,23,4,"[2, 0, 3, 1]",0,500,0.0010034779988927767
random,24,4,"[2, 0, 3, 1]",0,584,0.001171006999356905
HC,24,4,"[2, 0, 3, 1]",0,37,3.7591002183035016e-05
SA,24,4,"[1, 3, 0, 2]",0,117,0.00018016700050793588
GA,24,4,"[1, 3, 0, 2]",0,664,0.008725625000806758
random,25,4,"[1, 3, 0, 2]",0,425,0.0008347590010089334
HC,25,4,"[3, 1, 0, 2]",1,37,3.8610000046901405e-05
SA,25,4,"[1, 3, 0, 2]",0,247,0.0003721009998116642
GA,25,4,"[1, 3, 0, 2]",0,500,0.0010022880014730617
random,26,4,"[1, 3, 0, 2]",0,47,9.779600077308714e-05
HC,26,4,"[2, 1, 3, 0]",1,25,2.742300057434477e-05
SA,26,4,"[1, 3, 0, 2]",0,294,0.00043549499969230965
GA,26,4,"[1, 3, 0, 2]",0,500,0.0010137059980479535
random,27,4,"[1, 3, 0, 2]",0,16,3.735099744517356e-05
HC,27,4,"[3, 0, 2, 1]",1,25,2.999299977091141e-05
SA,27,4,"[1, 3, 0, 2]",0,78,0.00012762900223606266
GA,27,4,"[1, 3, 0, 2]",0,500,0.0010037479987659026
random,28,4,"[1, 3, 0, 2]",0,43,8.954800068750046e-05
HC,28,4,"[0, 2, 3, 1]",1,37,3.723099871422164e-05
SA,28,4,"[1, 3, 0, 2]",0,179,0.00026798500039149076
GA,28,4,"[1, 3, 0, 2]",0,500,0.0010042079993581865
random,29,4,"[2, 0, 3, 1]",0,11,2.7153000701218843e-05
HC,29,4,"[1, 3, 2, 0]",1,37,3.6990997614338994e-05
SA,29,4,"[2, 0, 3, 1]",0,209,0.00031088600007933564
GA,29,4,"[2, 0, 3, 1]",0,500,0.001007276998279849
random,0,8,"[2, 0, 5, 7, 0, 3, 6, 4]",1,5000,0.02357550399756292
HC,0,8,"[6, 3, 5, 2, 1, 6, 4, 7]",2,281,0.0006648199996561743
SA,0,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,2686,0.008192094002879458
GA,0,8,"[2, 5, 7, 4, 0, 3, 1, 6]",1,5000,0.2404881820002629
random,1,8,"[6, 2, 5, 1, 4, 0, 3, 3]",1,5000,0.023367739999230253
HC,1,8,"[5, 2, 4, 1, 7, 0, 3, 6]",1,281,0.000672689999191789
SA,1,8,"[2, 5, 7, 0, 4, 6, 1, 3]",0,2695,0.008221559997764416
GA,1,8,"[7, 3, 0, 2, 5, 1, 6, 4]",0,4530,0.21975488300086
random,2,8,"[0, 7, 4, 2, 0, 6, 3, 5]",1,5000,0.02331690200298908
HC,2,8,"[0, 6, 1, 5, 2, 4, 7, 3]",1,169,0.000404594000428915
SA,2,8,"[4, 6, 0, 3, 1, 7, 5, 2]",0,1621,0.00494433099811431
GA,2,8,"[1, 5, 7, 2, 3, 3, 6, 4]",2,5000,0.2463601400013431
random,3,8,"[6, 3, 5, 2, 5, 0, 4, 1]",2,5000,0.023227582998515572
HC,3,8,"[6, 3, 5, 7, 2, 0, 7, 4]",2,225,0.0005392509992816485
